load_mode,payload_len,acl_mode,request_count,success_count,timeout_count,mismatch_count,success_rate,avg_latency_us,p50_latency_us,p95_latency_us,throughput_mb_s,aes_request_count,sm4_request_count,aes_avg_latency_us,sm4_avg_latency_us
aes_only,64,acl_off,200,200,0,0,1.0,389945.6195,389898.9,389940.0,0.000157,,,,
aes_only,64,acl_on_nonmatching,200,200,0,0,1.0,389948.159,389899.3,389938.0,0.000157,,,,
aes_only,512,acl_off,200,200,0,0,1.0,135330.2575,135312.5,135349.2,0.003608,,,,
aes_only,512,acl_on_nonmatching,200,200,0,0,1.0,135300.836,135312.0,135347.2,0.003609,,,,
aes_only,1472,acl_off,200,200,0,0,1.0,168777.5755,168729.6,168770.5,0.008318,,,,
aes_only,1472,acl_on_nonmatching,200,200,0,0,1.0,168748.343,168730.4,168770.6,0.008319,,,,
sm4_only,64,acl_off,200,200,0,0,1.0,389978.791,389900.7,389928.7,0.000157,,,,
sm4_only,64,acl_on_nonmatching,200,200,0,0,1.0,390124.4465,389900.3,389947.3,0.000156,,,,
sm4_only,512,acl_off,200,200,0,0,1.0,135332.93,135313.1,135343.9,0.003608,,,,
sm4_only,512,acl_on_nonmatching,200,200,0,0,1.0,135361.4155,135312.5,135347.6,0.003607,,,,
sm4_only,1472,acl_off,200,200,0,0,1.0,168774.7625,168730.1,168769.6,0.008318,,,,
sm4_only,1472,acl_on_nonmatching,200,200,0,0,1.0,168749.982,168729.5,168775.9,0.008319,,,,
mixed_alt_50_50,64,acl_off,200,200,0,0,1.0,389920.704,389899.4,389939.4,0.000157,100,100,389940.833,389900.575
mixed_alt_50_50,64,acl_on_nonmatching,200,200,0,0,1.0,389916.5395,389900.1,389933.7,0.000157,100,100,389876.987,389956.092
mixed_alt_50_50,512,acl_off,200,200,0,0,1.0,135332.0755,135311.3,135346.2,0.003608,100,100,135350.48,135313.671
mixed_alt_50_50,512,acl_on_nonmatching,200,200,0,0,1.0,135324.8355,135310.2,135337.8,0.003608,100,100,135279.226,135370.445
mixed_alt_50_50,1472,acl_off,200,200,0,0,1.0,168748.826,168729.9,168764.9,0.008319,100,100,168770.063,168727.589
mixed_alt_50_50,1472,acl_on_nonmatching,200,200,0,0,1.0,168714.438,168730.4,168769.5,0.008321,100,100,168696.55,168732.326
